#CLOCK=2.00mS
#SIZE=8192
#PROBE=1
#VOLTDIV=5
,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.2745,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.4627,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
-6.3373,0,0
